InvoiceDate,InvoiceMonth,InvoiceYear,InvoiceWeekday,InvoiceHour,InvoiceWeekEndMS,InvoiceWeekEndSS,Segment,Country,InvoiceCount_Buy,ActiveCustomers_Buy,TotalQuantity_Buy,TotalSales_Buy,AvgSalesPerCustomer_Buy,ReturnCustomers,TotalSales_Return
2010-12-01 09:45:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,134.0,430.59999999999997,430.59999999999997,0,0.0
2010-12-01 09:49:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,VIP,United Kingdom,0,0,0.0,0.0,,1,-4.65
2010-12-01 09:53:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,New & Growing,United Kingdom,1,1,190.0,489.6,489.6,0,0.0
2010-12-01 09:56:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,53.0,130.85,130.85,0,0.0
2010-12-01 09:57:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,236.0,508.20000000000005,508.20000000000005,0,0.0
2010-12-01 09:58:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,1440.0,3193.92,3193.92,0,0.0
2010-12-01 09:59:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,New & Growing,United Kingdom,1,1,108.0,226.14,226.14,0,0.0
2010-12-01 10:03:00,2010-12,2010,Wednesday,10,2010-12-05,2010-12-04,VIP,Belgium,1,1,107.0,358.25,358.25,0,0.0
2010-12-01 10:03:00,2010-12,2010,Wednesday,10,2010-12-05,2010-12-04,VIP,Australia,1,1,107.0,358.25,358.25,0,0.0
2010-12-01 10:19:00,2010-12,2010,Wednesday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,1568.0,1825.74,1825.74,0,0.0
2010-12-01 10:24:00,2010-12,2010,Wednesday,10,2010-12-05,2010-12-04,,United Kingdom,0,0,0.0,0.0,,1,-141.48000000000002
2010-12-01 10:29:00,2010-12,2010,Wednesday,10,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,103.0,318.14000000000004,318.14000000000004,0,0.0
2010-12-01 10:37:00,2010-12,2010,Wednesday,10,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,8.0,79.6,79.6,0,0.0
2010-12-01 10:39:00,2010-12,2010,Wednesday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,544.0,1024.6800000000003,1024.6800000000003,0,0.0
2010-12-01 10:47:00,2010-12,2010,Wednesday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,260.0,507.8800000000001,507.8800000000001,0,0.0
2010-12-01 10:51:00,2010-12,2010,Wednesday,10,2010-12-05,2010-12-04,VIP,United Kingdom,2,2,162.0,655.3600000000001,327.68000000000006,0,0.0
2010-12-01 10:52:00,2010-12,2010,Wednesday,10,2010-12-05,2010-12-04,VIP,United Kingdom,2,2,162.0,448.7600000000001,224.38000000000005,0,0.0
2010-12-01 10:53:00,2010-12,2010,Wednesday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,12.0,17.4,17.4,0,0.0
2010-12-01 11:21:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,124.0,354.2299999999999,354.2299999999999,0,0.0
2010-12-01 11:22:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,116.0,357.0,357.0,0,0.0
2010-12-01 11:27:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,At Risk,Netherlands,1,1,97.0,192.60000000000002,192.60000000000002,0,0.0
2010-12-01 11:29:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,438.0,471.29999999999995,471.29999999999995,0,0.0
2010-12-01 11:32:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,128.0,326.4,326.4,0,0.0
2010-12-01 11:33:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,96.0,353.14000000000004,353.14000000000004,0,0.0
2010-12-01 11:34:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,12.0,22.200000000000003,22.200000000000003,0,0.0
2010-12-01 11:41:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,558.0,783.1099999999999,783.1099999999999,0,0.0
2010-12-01 11:45:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,New & Growing,United Kingdom,1,1,169.0,232.02999999999992,232.02999999999992,0,0.0
2010-12-01 11:49:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,197.0,453.4599999999998,453.4599999999998,0,0.0
2010-12-01 11:52:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,,United Kingdom,0,0,0.0,0.0,,0,0.0
2010-12-01 11:57:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,Active,United Kingdom,1,1,228.0,390.78999999999985,390.78999999999985,0,0.0
2010-12-01 11:58:00,2010-12,2010,Wednesday,11,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,110.0,225.7,225.7,0,0.0
2010-12-01 12:03:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,111.0,233.45000000000002,233.45000000000002,0,0.0
2010-12-01 12:08:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,Active,United Kingdom,1,1,78.0,303.90000000000003,303.90000000000003,0,0.0
2010-12-01 12:08:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,137.0,362.45000000000005,362.45000000000005,0,0.0
2010-12-01 12:12:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,1004.0,842.12,842.12,0,0.0
2010-12-01 12:15:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,323.0,430.99,430.99,0,0.0
2010-12-01 12:22:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,VIP,United Kingdom,2,1,170.0,312.93999999999994,312.93999999999994,0,0.0
2010-12-01 12:23:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,18.0,42.9,42.9,0,0.0
2010-12-01 12:23:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,New & Growing,United Kingdom,1,1,151.0,265.09999999999997,265.09999999999997,0,0.0
2010-12-01 12:27:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,1070.0,2474.7399999999993,2474.7399999999993,0,0.0
2010-12-01 12:31:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,Active,United Kingdom,1,1,71.0,163.33999999999997,163.33999999999997,0,0.0
2010-12-01 12:35:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,102.0,223.90000000000003,223.90000000000003,0,0.0
2010-12-01 12:36:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,New & Growing,United Kingdom,1,1,39.0,95.29,95.29,0,0.0
2010-12-01 12:38:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,Active,United Kingdom,1,1,216.0,155.52,155.52,1,-25.5
2010-12-01 12:40:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,118.0,295.50000000000006,295.50000000000006,0,0.0
2010-12-01 12:43:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,197.0,313.48999999999995,313.48999999999995,0,0.0
2010-12-01 12:48:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,1.0,4.95,4.95,0,0.0
2010-12-01 12:49:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,Active,United Kingdom,1,1,84.0,188.5599999999999,188.5599999999999,0,0.0
2010-12-01 12:50:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,112.0,203.3,203.3,0,0.0
2010-12-01 12:51:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,Active,United Kingdom,1,1,24.0,70.80000000000001,70.80000000000001,0,0.0
2010-12-01 12:54:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,29.0,136.24,136.24,0,0.0
2010-12-01 12:58:00,2010-12,2010,Wednesday,12,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,94.0,301.24,301.24,0,0.0
2010-12-01 13:04:00,2010-12,2010,Wednesday,13,2010-12-05,2010-12-04,VIP,Germany,1,1,157.0,261.48,261.48,0,0.0
2010-12-01 13:17:00,2010-12,2010,Wednesday,13,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,113.0,274.92999999999995,274.92999999999995,0,0.0
2010-12-01 13:20:00,2010-12,2010,Wednesday,13,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,38.0,161.00000000000003,161.00000000000003,0,0.0
2010-12-01 13:21:00,2010-12,2010,Wednesday,13,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,71.0,200.49999999999997,200.49999999999997,0,0.0
2010-12-01 13:23:00,2010-12,2010,Wednesday,13,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,391.0,939.59,939.59,0,0.0
2010-12-01 13:24:00,2010-12,2010,Wednesday,13,2010-12-05,2010-12-04,VIP,Norway,1,1,1852.0,1919.1400000000008,1919.1400000000008,0,0.0
2010-12-01 13:31:00,2010-12,2010,Wednesday,13,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,80.0,156.09999999999997,156.09999999999997,0,0.0
2010-12-01 13:33:00,2010-12,2010,Wednesday,13,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,51.0,115.65,115.65,0,0.0
2010-12-01 13:38:00,2010-12,2010,Wednesday,13,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,71.0,194.85000000000002,194.85000000000002,0,0.0
2010-12-01 13:45:00,2010-12,2010,Wednesday,13,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,95.0,165.04999999999998,165.04999999999998,0,0.0
2010-12-01 13:51:00,2010-12,2010,Wednesday,13,2010-12-05,2010-12-04,New & Growing,United Kingdom,1,1,138.0,369.50000000000006,369.50000000000006,0,0.0
2010-12-01 13:54:00,2010-12,2010,Wednesday,13,2010-12-05,2010-12-04,Active,United Kingdom,1,1,146.0,254.99999999999997,254.99999999999997,0,0.0
2010-12-01 14:03:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,New & Growing,United Kingdom,1,1,160.0,487.75,487.75,0,0.0
2010-12-01 14:05:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,VIP,EIRE,2,1,243.0,555.3799999999999,555.3799999999999,0,0.0
2010-12-01 14:11:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,392.0,787.4,787.4,0,0.0
2010-12-01 14:30:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,VIP,United Kingdom,0,0,0.0,0.0,,1,-3.8
2010-12-01 14:32:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,Active,United Kingdom,1,1,1208.0,5521.140000000006,5521.140000000006,0,0.0
2010-12-01 14:32:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,,United Kingdom,0,0,0.0,0.0,,0,0.0
2010-12-01 14:33:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,,United Kingdom,0,0,0.0,0.0,,0,0.0
2010-12-01 14:33:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,VIP,Germany,0,0,0.0,0.0,,1,-122.3
2010-12-01 14:34:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,84.0,134.10999999999999,134.10999999999999,0,0.0
2010-12-01 14:34:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,,United Kingdom,0,0,0.0,0.0,,0,0.0
2010-12-01 14:35:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,,United Kingdom,0,0,0.0,0.0,,0,0.0
2010-12-01 14:37:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,2.0,2.9699999999999998,2.9699999999999998,0,0.0
2010-12-01 14:38:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,71.0,101.55000000000001,101.55000000000001,0,0.0
2010-12-01 14:41:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,198.0,532.43,532.43,0,0.0
2010-12-01 14:48:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,5.0,99.75,99.75,0,0.0
2010-12-01 14:54:00,2010-12,2010,Wednesday,14,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,117.0,204.95,204.95,0,0.0
2010-12-01 15:00:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,256.0,799.4000000000001,799.4000000000001,0,0.0
2010-12-01 15:06:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,140.0,322.4,322.4,0,0.0
2010-12-01 15:08:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,VIP,United Kingdom,2,1,111.0,360.05000000000007,360.05000000000007,0,0.0
2010-12-01 15:08:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,Active,United Kingdom,1,1,165.0,172.54,172.54,0,0.0
2010-12-01 15:15:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,2.0,6.7,6.7,0,0.0
2010-12-01 15:21:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,93.0,116.25,116.25,0,0.0
2010-12-01 15:27:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,Active,United Kingdom,1,1,132.0,251.40000000000003,251.40000000000003,0,0.0
2010-12-01 15:28:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,Active,United Kingdom,1,1,12.0,5.04,5.04,0,0.0
2010-12-01 15:35:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,Active,United Kingdom,1,1,86.0,304.34000000000003,304.34000000000003,0,0.0
2010-12-01 15:35:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,153.0,351.7499999999999,351.7499999999999,0,0.0
2010-12-01 15:37:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,284.0,294.61999999999995,294.61999999999995,0,0.0
2010-12-01 15:40:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,301.0,442.35,442.35,0,0.0
2010-12-01 15:45:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,Active,United Kingdom,1,1,136.0,143.12,143.12,0,0.0
2010-12-01 15:46:00,2010-12,2010,Wednesday,15,2010-12-05,2010-12-04,Active,United Kingdom,1,1,3.0,17.85,17.85,0,0.0
2010-12-01 16:01:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,858.0,1552.98,1552.98,0,0.0
2010-12-01 16:11:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,1122.0,2558.4199999999996,2558.4199999999996,0,0.0
2010-12-01 16:13:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,388.0,497.0,497.0,0,0.0
2010-12-01 16:15:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,104.0,279.6,279.6,0,0.0
2010-12-01 16:16:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,276.0,315.96000000000004,315.96000000000004,0,0.0
2010-12-01 16:17:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,66.0,97.2,97.2,0,0.0
2010-12-01 16:19:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,200.0,330.0,330.0,0,0.0
2010-12-01 16:21:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,184.0,304.03999999999996,304.03999999999996,0,0.0
2010-12-01 16:21:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,120.0,198.0,198.0,0,0.0
2010-12-01 16:22:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,384.0,1132.8000000000002,1132.8000000000002,0,0.0
2010-12-01 16:24:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,2.0,19.9,19.9,0,0.0
2010-12-01 16:25:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,44.0,344.2,344.2,0,0.0
2010-12-01 16:33:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,313.0,311.81000000000006,311.81000000000006,0,0.0
2010-12-01 16:49:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,103.0,277.05,277.05,0,0.0
2010-12-01 16:50:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,,United Kingdom,0,0,0.0,0.0,,0,0.0
2010-12-01 16:52:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,74.0,205.85999999999999,205.85999999999999,0,0.0
2010-12-01 16:57:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,81.0,159.26,159.26,0,0.0
2010-12-01 16:58:00,2010-12,2010,Wednesday,16,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,12.0,39.059999999999995,39.059999999999995,0,0.0
2010-12-01 17:06:00,2010-12,2010,Wednesday,17,2010-12-05,2010-12-04,Active,United Kingdom,1,1,1478.0,6915.650000000008,6915.650000000008,0,0.0
2010-12-01 17:15:00,2010-12,2010,Wednesday,17,2010-12-05,2010-12-04,New & Growing,United Kingdom,1,1,19.0,81.75,81.75,0,0.0
2010-12-01 17:22:00,2010-12,2010,Wednesday,17,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,34.0,79.5,79.5,0,0.0
2010-12-01 17:24:00,2010-12,2010,Wednesday,17,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,108.0,349.15000000000003,349.15000000000003,0,0.0
2010-12-01 17:29:00,2010-12,2010,Wednesday,17,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,9.0,38.09,38.09,0,0.0
2010-12-01 17:35:00,2010-12,2010,Wednesday,17,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,71.0,102.79,102.79,0,0.0
2010-12-02 07:48:00,2010-12,2010,Thursday,7,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,76.0,160.6,160.6,0,0.0
2010-12-02 07:49:00,2010-12,2010,Thursday,7,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,80.0,306.4,306.4,0,0.0
2010-12-02 08:32:00,2010-12,2010,Thursday,8,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,56.0,251.62,251.62,0,0.0
2010-12-02 08:33:00,2010-12,2010,Thursday,8,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,12.0,22.200000000000003,22.200000000000003,0,0.0
2010-12-02 08:34:00,2010-12,2010,Thursday,8,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,64.0,163.76000000000002,163.76000000000002,0,0.0
2010-12-02 08:40:00,2010-12,2010,Thursday,8,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,12.0,22.200000000000003,22.200000000000003,0,0.0
2010-12-02 08:43:00,2010-12,2010,Thursday,8,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,114.0,184.5,184.5,0,0.0
2010-12-02 08:52:00,2010-12,2010,Thursday,8,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,107.0,272.6499999999999,272.6499999999999,0,0.0
2010-12-02 09:10:00,2010-12,2010,Thursday,9,2010-12-05,2010-12-04,VIP,United Kingdom,0,0,0.0,0.0,,1,-5.9
2010-12-02 09:29:00,2010-12,2010,Thursday,9,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,93.0,303.97,303.97,0,0.0
2010-12-02 09:37:00,2010-12,2010,Thursday,9,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,30.0,38.1,38.1,0,0.0
2010-12-02 09:41:00,2010-12,2010,Thursday,9,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,88.0,244.46000000000004,244.46000000000004,0,0.0
2010-12-02 09:42:00,2010-12,2010,Thursday,9,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,12.0,22.200000000000003,22.200000000000003,0,0.0
2010-12-02 09:43:00,2010-12,2010,Thursday,9,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,153.0,259.65,259.65,0,0.0
2010-12-02 09:44:00,2010-12,2010,Thursday,9,2010-12-05,2010-12-04,VIP,United Kingdom,2,1,94.0,228.96,228.96,0,0.0
2010-12-02 09:44:00,2010-12,2010,Thursday,9,2010-12-05,2010-12-04,New & Growing,United Kingdom,1,1,197.0,208.96999999999997,208.96999999999997,0,0.0
2010-12-02 10:09:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,108.0,286.92,286.92,0,0.0
2010-12-02 10:10:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,New & Growing,United Kingdom,1,1,72.0,244.08,244.08,0,0.0
2010-12-02 10:17:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,VIP,United Kingdom,2,2,1244.0,1875.2399999999998,937.6199999999999,0,0.0
2010-12-02 10:18:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,48.0,97.19999999999999,97.19999999999999,0,0.0
2010-12-02 10:27:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,741.0,485.25,485.25,0,0.0
2010-12-02 10:35:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,298.0,350.05999999999995,350.05999999999995,0,0.0
2010-12-02 10:37:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,VIP,Germany,0,0,0.0,0.0,,1,-17.0
2010-12-02 10:39:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,666.0,768.38,768.38,0,0.0
2010-12-02 10:45:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,228.0,610.64,610.64,0,0.0
2010-12-02 10:46:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,6.0,12.600000000000001,12.600000000000001,1,-29.9
2010-12-02 10:53:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,64.0,306.20000000000005,306.20000000000005,0,0.0
2010-12-02 10:54:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,86.0,230.56000000000003,230.56000000000003,0,0.0
2010-12-02 10:55:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,12.0,22.200000000000003,22.200000000000003,0,0.0
2010-12-02 10:56:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,88.0,244.46000000000004,244.46000000000004,0,0.0
2010-12-02 10:58:00,2010-12,2010,Thursday,10,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,12.0,22.200000000000003,22.200000000000003,0,0.0
2010-12-02 11:02:00,2010-12,2010,Thursday,11,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,170.0,312.79999999999995,312.79999999999995,0,0.0
2010-12-02 11:20:00,2010-12,2010,Thursday,11,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,105.0,204.15000000000006,204.15000000000006,0,0.0
2010-12-02 11:21:00,2010-12,2010,Thursday,11,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,159.0,193.78,193.78,0,0.0
2010-12-02 11:22:00,2010-12,2010,Thursday,11,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,246.0,572.38,572.38,0,0.0
2010-12-02 11:23:00,2010-12,2010,Thursday,11,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,36.0,106.2,106.2,0,0.0
2010-12-02 11:35:00,2010-12,2010,Thursday,11,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,157.0,219.66000000000003,219.66000000000003,0,0.0
2010-12-02 11:41:00,2010-12,2010,Thursday,11,2010-12-05,2010-12-04,Active,United Kingdom,1,1,619.0,1056.6299999999994,1056.6299999999994,0,0.0
2010-12-02 11:45:00,2010-12,2010,Thursday,11,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,106.0,288.49999999999994,288.49999999999994,0,0.0
2010-12-02 11:45:00,2010-12,2010,Thursday,11,2010-12-05,2010-12-04,At Risk,United Kingdom,1,1,11.0,45.849999999999994,45.849999999999994,0,0.0
