InvoiceDate,Segment,Country,ReturnInvoiceCount,ReturnCustomers,ReturnedQuantity,ReturnedSales
2010-12-06 13:17:00,VIP,United Kingdom,1,1,-3.0,-9.05
2010-12-06 14:22:00,VIP,United Kingdom,1,1,-1.0,-4.95
2010-12-06 14:43:00,VIP,United Kingdom,1,1,-34.0,-192.7
2010-12-06 14:53:00,VIP,United Kingdom,1,1,-16.0,-167.2
2010-12-06 14:55:00,VIP,United Kingdom,1,1,-18.0,-25.5
2010-12-06 15:07:00,VIP,United Kingdom,1,1,-72.0,-151.20000000000002
2010-12-06 15:09:00,New & Growing,United Kingdom,1,1,-7.0,-22.110000000000003
2010-12-06 15:10:00,,United Kingdom,1,1,-1.0,-7.95
2010-12-06 15:12:00,Loyal,United Kingdom,1,1,-1.0,-4.25
2010-12-06 16:10:00,VIP,United Kingdom,1,1,-1.0,-5.95
2010-12-07 08:42:00,New & Growing,United Kingdom,1,1,-8.0,-47.6
2010-12-07 08:57:00,VIP,United Kingdom,1,1,-11.0,-9.35
2010-12-07 11:47:00,VIP,United Kingdom,1,1,-5.0,-28.15
2010-12-07 12:00:00,,United Kingdom,1,1,-1.0,-95.38
2010-12-07 12:03:00,,United Kingdom,1,1,-2.0,-64.95
2010-12-07 12:31:00,VIP,United Kingdom,1,1,-2.0,-19.9
2010-12-07 12:34:00,VIP,United Kingdom,1,1,-1.0,-281.0
2010-12-07 12:41:00,,United Kingdom,1,1,-1.0,-1.0
2010-12-07 12:45:00,VIP,United Kingdom,1,1,-18.0,-76.32000000000001
2010-12-07 13:23:00,,United Kingdom,1,1,-1.0,-631.31
2010-12-07 13:25:00,VIP,United Kingdom,1,1,-36.0,-75.60000000000001
2010-12-07 13:28:00,,United Kingdom,1,1,-1.0,-313.78
2010-12-07 15:04:00,,United Kingdom,1,1,-1.0,-13541.33
2010-12-07 15:34:00,,United Kingdom,1,1,-1.0,-13474.79
2010-12-07 15:41:00,,United Kingdom,1,1,-1.0,-5519.25
2010-12-07 15:49:00,,United Kingdom,1,1,-1.0,-13541.33
2010-12-07 15:51:00,,United Kingdom,1,1,-1.0,-6706.71
2010-12-07 16:21:00,Loyal,United Kingdom,1,1,-12.0,-131.39999999999998
2010-12-08 09:55:00,VIP,United Kingdom,1,1,-1.0,-1.95
2010-12-08 10:18:00,VIP,United Kingdom,1,1,-2.0,-6.3
2010-12-08 11:03:00,VIP,United Kingdom,1,1,-3.0,-6.65
2010-12-08 11:33:00,VIP,United Kingdom,1,1,-36.0,-103.0
2010-12-08 12:03:00,VIP,United Kingdom,1,1,-1.0,-7.95
2010-12-08 12:49:00,VIP,United Kingdom,1,1,-2.0,-18.3
2010-12-08 13:07:00,VIP,United Kingdom,2,2,-5.0,-36.099999999999994
2010-12-08 13:18:00,VIP,United Kingdom,1,1,-15.0,-26.38
2010-12-08 13:23:00,VIP,United Kingdom,1,1,-15.0,-54.75
2010-12-08 13:33:00,VIP,United Kingdom,1,1,-20.0,-209.0
2010-12-08 13:43:00,VIP,Germany,1,1,-3.0,-12.75
2010-12-08 14:10:00,VIP,United Kingdom,1,1,-1.0,-8.5
2010-12-08 14:20:00,New & Growing,United Kingdom,1,1,-3.0,-20.85
2010-12-08 14:27:00,,United Kingdom,1,1,-2.0,-14.899999999999999
2010-12-08 14:52:00,New & Growing,United Kingdom,1,1,-8.0,-29.8
2010-12-08 14:54:00,VIP,United Kingdom,1,1,-5.0,-13.900000000000002
2010-12-08 14:57:00,Loyal,United Kingdom,1,1,-3.0,-14.850000000000001
2010-12-08 15:01:00,VIP,United Kingdom,1,1,-4.0,-5.0
2010-12-08 15:57:00,Active,United Kingdom,1,1,-7.0,-33.55
2010-12-08 15:59:00,VIP,United Kingdom,1,1,-3.0,-13.45
2010-12-08 16:00:00,VIP,United Kingdom,1,1,-1.0,-267.12
2010-12-08 16:15:00,,United Kingdom,1,1,-158.0,-295.09000000000003
2010-12-09 10:14:00,VIP,France,1,1,-5.0,-27.15
2010-12-09 11:42:00,Loyal,United Kingdom,1,1,-8.0,-30.0
2010-12-09 13:28:00,Active,United Kingdom,1,1,-1.0,-4.95
2010-12-09 13:38:00,Active,United Kingdom,1,1,-104.0,-238.20000000000002
2010-12-09 13:40:00,Loyal,United Kingdom,1,1,-23.0,-88.14999999999999
2010-12-09 13:58:00,VIP,United Kingdom,1,1,-1.0,-2.95
2010-12-09 14:12:00,VIP,United Kingdom,1,1,-12.0,-20.28
2010-12-09 14:29:00,Loyal,United Kingdom,1,1,-33.0,-64.35
2010-12-09 14:30:00,VIP,United Kingdom,1,1,-20.0,-42.0
2010-12-09 14:40:00,VIP,United Kingdom,1,1,-7.0,-14.25
2010-12-09 14:42:00,Active,Germany,1,1,-12.0,-19.799999999999997
2010-12-09 14:43:00,Loyal,United Kingdom,1,1,-3.0,-16.0
2010-12-09 14:45:00,VIP,United Kingdom,1,1,-24.0,-20.4
2010-12-09 14:47:00,VIP,United Kingdom,1,1,-1.0,-6.75
2010-12-09 14:48:00,Active,United Kingdom,1,1,-2.0,-17.9
2010-12-09 14:57:00,VIP,United Kingdom,1,1,-1.0,-8.5
2010-12-09 14:58:00,New & Growing,United Kingdom,1,1,-4.0,-13.100000000000001
2010-12-09 15:00:00,,United Kingdom,1,1,-12.0,-30.599999999999998
2010-12-09 15:01:00,VIP,United Kingdom,1,1,-2.0,-9.3
2010-12-09 15:13:00,VIP,United Kingdom,1,1,-2.0,-17.0
2010-12-09 15:18:00,New & Growing,United Kingdom,1,1,-2.0,-16.599999999999998
2010-12-09 15:23:00,VIP,United Kingdom,1,1,-5.0,-24.95
2010-12-09 15:24:00,Loyal,United Kingdom,1,1,-24.0,-10.08
2010-12-09 15:24:00,,United Kingdom,1,1,-144.0,-152.64000000000001
2010-12-09 15:28:00,VIP,United Kingdom,1,1,-4.0,-27.6
2010-12-09 15:29:00,VIP,United Kingdom,1,1,-1.0,-16.95
2010-12-09 15:30:00,VIP,United Kingdom,1,1,-34.0,-42.5
2010-12-09 15:33:00,VIP,United Kingdom,1,1,-3.0,-9.85
2010-12-09 15:34:00,VIP,United Kingdom,1,1,-4.0,-20.1
2010-12-09 15:36:00,Active,United Kingdom,1,1,-1.0,-12.75
2010-12-09 15:38:00,VIP,United Kingdom,1,1,-1.0,-1.25
2010-12-09 15:41:00,,Germany,1,1,-4.0,-7.5
2010-12-09 15:43:00,Loyal,United Kingdom,1,1,-6.0,-17.7
2010-12-09 17:32:00,VIP,United Kingdom,1,1,-1.0,-1.95
2010-12-10 10:35:00,,United Kingdom,1,1,-1.0,-133.08
2010-12-10 13:52:00,VIP,United Kingdom,1,1,-47.0,-39.949999999999996
2010-12-10 14:03:00,VIP,United Kingdom,1,1,-290.0,-1076.3200000000004
2010-12-10 14:32:00,VIP,United Kingdom,1,1,-12.0,-25.200000000000003
2010-12-10 15:01:00,VIP,United Kingdom,1,1,-108.0,-183.59999999999997
2010-12-10 16:01:00,VIP,United Kingdom,1,1,-144.0,-243.35999999999999
2010-12-10 17:05:00,VIP,United Kingdom,1,1,-30.0,-16.5
2010-12-12 11:12:00,VIP,United Kingdom,1,1,-6.0,-10.450000000000001
2010-12-12 11:13:00,VIP,United Kingdom,1,1,-12.0,-15.0
2010-12-12 11:19:00,Loyal,United Kingdom,1,1,-1.0,-9.95
2010-12-12 11:21:00,VIP,United Kingdom,1,1,-13.0,-16.65
2010-12-12 11:23:00,Active,United Kingdom,1,1,-2.0,-11.6
2010-12-12 12:31:00,Loyal,United Kingdom,1,1,-2.0,-11.6
2010-12-12 12:51:00,Loyal,United Kingdom,1,1,-2.0,-12.9
2010-12-13 10:26:00,VIP,United Kingdom,1,1,-33.0,-64.35
2010-12-13 10:31:00,Loyal,United Kingdom,1,1,-2.0,-7.5
2010-12-13 10:40:00,Loyal,United Kingdom,1,1,-48.0,-40.8
2010-12-13 12:03:00,VIP,United Kingdom,1,1,-2.0,-5.1
2010-12-13 13:09:00,VIP,United Kingdom,1,1,-2.0,-15.7
2010-12-13 13:28:00,VIP,United Kingdom,1,1,-1.0,-12.75
2010-12-13 14:37:00,VIP,Germany,1,1,-2.0,-12.45
2010-12-13 14:38:00,VIP,Germany,1,1,-2.0,-12.45
2010-12-13 14:56:00,Loyal,United Kingdom,1,1,-2.0,-10.2
2010-12-13 15:05:00,VIP,United Kingdom,1,1,-3.0,-16.15
2010-12-13 16:19:00,VIP,United Kingdom,1,1,-4.0,-15.8
2010-12-13 17:10:00,,United Kingdom,1,1,-1.0,-966.92
2010-12-13 17:12:00,,United Kingdom,1,1,-1.0,-316.3
2010-12-13 17:14:00,,United Kingdom,1,1,-1.0,-1130.9
2010-12-14 09:26:00,VIP,United Kingdom,1,1,-3.0,-32.65
2010-12-14 09:49:00,,United Kingdom,1,1,-1.0,-2.55
2010-12-14 09:54:00,VIP,United Kingdom,1,1,-11.0,-117.45
2010-12-14 09:56:00,Active,United Kingdom,1,1,-2.0,-2.9
2010-12-14 09:58:00,VIP,United Kingdom,1,1,-2.0,-7.24
2010-12-14 09:59:00,VIP,United Kingdom,1,1,-6.0,-21.95
2010-12-14 10:00:00,VIP,United Kingdom,1,1,-2.0,-5.1
2010-12-14 10:01:00,VIP,United Kingdom,1,1,-1.0,-2.95
2010-12-14 10:02:00,VIP,United Kingdom,1,1,-1.0,-8.5
2010-12-14 10:21:00,Loyal,United Kingdom,1,1,-24.0,-13.200000000000001
2010-12-14 10:23:00,VIP,United Kingdom,1,1,-4.0,-31.8
2010-12-14 10:25:00,Loyal,United Kingdom,1,1,-1.0,-1.45
2010-12-14 10:25:00,Active,United Kingdom,1,1,-2.0,-25.5
2010-12-14 10:28:00,New & Growing,United Kingdom,1,1,-60.0,-51.0
2010-12-14 10:29:00,VIP,United Kingdom,1,1,-3.0,-4.949999999999999
2010-12-14 10:31:00,New & Growing,United Kingdom,1,1,-2.0,-19.9
2010-12-14 10:33:00,VIP,United Kingdom,1,1,-17.0,-179.14999999999998
2010-12-14 10:50:00,Active,United Kingdom,1,1,-1.0,-1.25
2010-12-14 10:51:00,VIP,United Kingdom,1,1,-1.0,-8.5
2010-12-14 10:53:00,VIP,United Kingdom,1,1,-3.0,-36.65
2010-12-14 11:09:00,,United Kingdom,1,1,-12.0,-35.400000000000006
2010-12-14 11:10:00,VIP,United Kingdom,1,1,-48.0,-60.0
2010-12-14 11:11:00,VIP,United Kingdom,1,1,-4.0,-15.0
2010-12-14 11:12:00,Active,Australia,1,1,-13.0,-27.749999999999996
2010-12-14 11:16:00,Loyal,United Kingdom,1,1,-20.0,-25.0
2010-12-14 11:18:00,VIP,United Kingdom,1,1,-1.0,-2.95
2010-12-14 11:24:00,New & Growing,United Kingdom,1,1,-2.0,-33.9
2010-12-14 11:26:00,VIP,United Kingdom,1,1,-2.0,-3.9
2010-12-14 11:27:00,VIP,United Kingdom,1,1,-1.0,-1.45
2010-12-14 11:28:00,Active,United Kingdom,1,1,-1.0,-9.95
2010-12-14 11:30:00,VIP,United Kingdom,1,1,-1.0,-12.75
2010-12-14 11:33:00,VIP,United Kingdom,1,1,-8.0,-30.0
2010-12-14 11:34:00,Loyal,United Kingdom,1,1,-36.0,-45.0
2010-12-14 11:35:00,VIP,United Kingdom,1,1,-1.0,-4.95
2010-12-14 11:41:00,VIP,United Kingdom,1,1,-1.0,-1.25
2010-12-14 11:45:00,Loyal,United Kingdom,1,1,-4.0,-15.8
2010-12-14 11:54:00,VIP,United Kingdom,1,1,-8.0,-22.8
2010-12-14 11:55:00,,United Kingdom,1,1,-5.0,-31.65
2010-12-14 11:56:00,VIP,United Kingdom,1,1,-2.0,-1.7
2010-12-14 11:57:00,VIP,United Kingdom,1,1,-6.0,-29.700000000000003
2010-12-14 11:59:00,Active,United Kingdom,1,1,-1.0,-4.25
2010-12-14 12:27:00,VIP,United Kingdom,1,1,-2.0,-5.9
2010-12-14 13:05:00,VIP,United Kingdom,1,1,-8.0,-40.199999999999996
2010-12-14 13:06:00,VIP,United Kingdom,1,1,-2.0,-12.899999999999999
2010-12-14 13:27:00,VIP,Sweden,1,1,-240.0,-1188.0
2010-12-14 15:16:00,VIP,United Kingdom,1,1,-5.0,-8.25
2010-12-14 15:20:00,Active,United Kingdom,1,1,-1.0,-2.95
2010-12-14 15:56:00,Active,Portugal,1,1,-36.0,-45.0
2010-12-14 16:19:00,VIP,United Kingdom,1,1,-1.0,-10.95
2010-12-14 16:24:00,Active,Portugal,1,1,-3.0,-14.850000000000001
2010-12-14 16:39:00,Active,United Kingdom,1,1,-7.0,-92.64999999999999
2010-12-15 09:14:00,VIP,United Kingdom,1,1,-2.0,-48.26
2010-12-15 09:20:00,VIP,United Kingdom,1,1,-1.0,-10.75
2010-12-15 10:29:00,Loyal,United Kingdom,1,1,-1.0,-7.95
2010-12-15 11:39:00,Loyal,Austria,1,1,-48.0,-20.16
2010-12-15 12:06:00,VIP,United Kingdom,1,1,-2.0,-11.2
2010-12-15 12:35:00,VIP,United Kingdom,1,1,-1.0,-26.93
2010-12-15 14:25:00,VIP,Germany,1,1,-12.0,-52.900000000000006
2010-12-15 14:33:00,Active,United Kingdom,1,1,-1.0,-12.75
2010-12-15 14:42:00,,Israel,1,1,-56.0,-227.44
2010-12-15 16:34:00,Active,United Kingdom,1,1,-6.0,-35.1
2010-12-15 16:36:00,,United Kingdom,1,1,-12.0,-102.0
2010-12-15 16:40:00,VIP,United Kingdom,1,1,-11.0,-74.25
2010-12-15 16:42:00,Loyal,United Kingdom,1,1,-10.0,-67.5
2010-12-15 16:43:00,Loyal,United Kingdom,1,1,-2.0,-7.9
2010-12-15 16:50:00,Active,United Kingdom,1,1,-7.0,-63.34
2010-12-15 16:52:00,VIP,United Kingdom,1,1,-8.0,-47.6
2010-12-15 16:54:00,Active,United Kingdom,1,1,-2.0,-15.399999999999999
2010-12-15 16:55:00,VIP,United Kingdom,1,1,-18.0,-46.400000000000006
2010-12-15 16:56:00,VIP,United Kingdom,1,1,-36.0,-45.0
2010-12-15 16:57:00,Loyal,United Kingdom,1,1,-3.0,-29.849999999999998
2010-12-15 17:04:00,,United Kingdom,1,1,-3.0,-16.95
2010-12-15 17:05:00,New & Growing,United Kingdom,1,1,-16.0,-27.799999999999997
2010-12-15 17:08:00,VIP,United Kingdom,1,1,-1.0,-3.5
2010-12-16 09:48:00,VIP,United Kingdom,1,1,-1.0,-2.95
2010-12-16 10:28:00,VIP,Germany,1,1,-7.0,-11.549999999999999
2010-12-16 10:30:00,VIP,United Kingdom,1,1,-2.0,-5.9
2010-12-16 10:38:00,VIP,France,1,1,-3.0,-4.949999999999999
2010-12-16 11:10:00,Loyal,United Kingdom,1,1,-1.0,-4.95
2010-12-16 11:24:00,VIP,France,1,1,-3.0,-8.850000000000001
2010-12-16 11:59:00,Loyal,United Kingdom,1,1,-2.0,-3.9
2010-12-16 12:05:00,VIP,United Kingdom,1,1,-5.0,-42.5
2010-12-16 12:56:00,VIP,EIRE,1,1,-30.0,-220.5
2010-12-16 13:01:00,VIP,United Kingdom,1,1,-1.0,-175.0
2010-12-16 13:24:00,VIP,United Kingdom,1,1,-1.0,-2.1
2010-12-16 14:15:00,VIP,United Kingdom,1,1,-4.0,-25.8
2010-12-16 14:19:00,VIP,United Kingdom,1,1,-10.0,-109.5
2010-12-16 14:30:00,Active,United Kingdom,1,1,-2.0,-21.9
2010-12-16 14:32:00,Loyal,United Kingdom,1,1,-7.0,-76.64999999999999
2010-12-16 15:27:00,,United Kingdom,1,1,-8.0,-14.5
2010-12-16 15:28:00,VIP,United Kingdom,1,1,-1.0,-10.95
2010-12-16 15:30:00,VIP,United Kingdom,1,1,-2.0,-14.0
2010-12-16 15:31:00,VIP,United Kingdom,1,1,-2.0,-8.5
2010-12-16 15:36:00,Loyal,United Kingdom,1,1,-2.0,-10.5
2010-12-16 15:37:00,Loyal,United Kingdom,1,1,-3.0,-25.5
2010-12-16 15:39:00,New & Growing,United Kingdom,1,1,-6.0,-29.700000000000003
2010-12-16 15:40:00,VIP,United Kingdom,1,1,-2.0,-17.0
2010-12-16 15:54:00,Loyal,United Kingdom,1,1,-12.0,-25.200000000000003
2010-12-16 16:24:00,VIP,United Kingdom,1,1,-160.0,-67.2
2010-12-16 16:30:00,VIP,United Kingdom,1,1,-3.0,-12.75
2010-12-16 16:42:00,VIP,United Kingdom,1,1,-11.0,-10.55
2010-12-16 17:33:00,VIP,United Kingdom,1,1,-12.0,-19.799999999999997
2010-12-16 17:33:00,Loyal,United Kingdom,1,1,-12.0,-35.400000000000006
2010-12-17 09:37:00,VIP,United Kingdom,1,1,-800.0,-1491.0
2010-12-17 12:19:00,VIP,United Kingdom,1,1,-16.0,-49.900000000000006
2010-12-17 12:58:00,VIP,Germany,1,1,-1.0,-18.0
2010-12-17 15:11:00,VIP,United Kingdom,1,1,-1.0,-295.0
2010-12-17 16:25:00,VIP,United Kingdom,1,1,-72.0,-30.24
2010-12-19 12:46:00,VIP,United Kingdom,1,1,-3.0,-12.65
2010-12-19 14:43:00,VIP,United Kingdom,1,1,-1.0,-4.95
2010-12-20 08:27:00,,United Kingdom,1,1,-70.0,-50.1
2010-12-20 11:01:00,Loyal,United Kingdom,1,1,-3.0,-3.75
2010-12-20 11:56:00,VIP,United Kingdom,2,2,-10.0,-27.2
2010-12-20 11:59:00,VIP,United Kingdom,1,1,-6.0,-47.7
2010-12-20 12:01:00,Loyal,United Kingdom,1,1,-20.0,-67.7
2010-12-20 12:19:00,VIP,United Kingdom,1,1,-5.0,-14.75
2010-12-20 12:23:00,VIP,United Kingdom,2,2,-50.0,-98.1
2010-12-20 12:25:00,VIP,EIRE,1,1,-358.0,-707.0600000000003
2010-12-20 12:41:00,VIP,United Kingdom,1,1,-1.0,-8.5
2010-12-20 13:14:00,VIP,United Kingdom,1,1,-1.0,-13.88
2010-12-20 13:51:00,VIP,United Kingdom,1,1,-16.0,-12.0
2010-12-20 13:54:00,VIP,United Kingdom,1,1,-23.0,-240.84999999999997
2010-12-20 13:55:00,Loyal,United Kingdom,1,1,-6.0,-17.700000000000003
2010-12-20 13:57:00,Loyal,United Kingdom,1,1,-12.0,-35.400000000000006
2010-12-20 13:58:00,,United Kingdom,1,1,-2.0,-19.9
2010-12-20 14:02:00,New & Growing,United Kingdom,1,1,-22.0,-44.53
2010-12-20 14:05:00,VIP,EIRE,1,1,-5.0,-53.25
2010-12-20 14:07:00,VIP,United Kingdom,1,1,-7.0,-11.3
2010-12-20 14:09:00,VIP,United Kingdom,1,1,-10.0,-11.6
2010-12-20 14:10:00,VIP,United Kingdom,1,1,-3.0,-29.75
2010-12-20 15:07:00,VIP,United Kingdom,1,1,-96.0,-162.24
2010-12-20 15:27:00,VIP,United Kingdom,1,1,-7.0,-20.27
2010-12-20 15:52:00,VIP,Germany,1,1,-57.0,-300.65000000000003
2010-12-20 17:07:00,VIP,United Kingdom,1,1,-24.0,-34.8
2010-12-20 17:24:00,Loyal,United Kingdom,1,1,-14.0,-14.399999999999999
2010-12-21 10:16:00,VIP,United Kingdom,1,1,-48.0,-36.0
2010-12-21 10:47:00,VIP,United Kingdom,1,1,-57.0,-42.050000000000004
2010-12-21 12:17:00,VIP,United Kingdom,1,1,-2.0,-19.9
2010-12-21 12:33:00,Active,United Kingdom,1,1,-4.0,-27.7
2010-12-21 12:35:00,VIP,United Kingdom,1,1,-3.0,-10.15
2010-12-21 12:38:00,VIP,United Kingdom,1,1,-5.0,-21.95
2010-12-21 12:40:00,VIP,United Kingdom,1,1,-1.0,-5.75
2010-12-21 13:15:00,Active,United Kingdom,1,1,-60.0,-25.200000000000003
2010-12-21 14:24:00,Loyal,United Kingdom,1,1,-10.0,-12.5
2010-12-21 16:31:00,,United Kingdom,1,1,-1.0,-4.95
2010-12-22 12:43:00,VIP,United Kingdom,1,1,-1.0,-2.1
2010-12-22 13:13:00,VIP,United Kingdom,1,1,-8.0,-39.6
2010-12-22 13:20:00,New & Growing,United Kingdom,1,1,-1.0,-2.55
2010-12-22 13:59:00,VIP,United Kingdom,1,1,-10.0,-16.5
2010-12-22 15:13:00,VIP,United Kingdom,1,1,-1.0,-4.65
2010-12-23 10:20:00,Loyal,Germany,1,1,-9.0,-56.95
2010-12-23 11:36:00,VIP,United Kingdom,1,1,-4.0,-6.199999999999999
2010-12-23 11:38:00,VIP,United Kingdom,1,1,-1.0,-9.95
2010-12-23 11:40:00,VIP,United Kingdom,1,1,-6.0,-13.500000000000002
2010-12-23 11:47:00,VIP,United Kingdom,1,1,-6.0,-29.700000000000003
2010-12-23 11:48:00,,EIRE,1,1,-4.0,-15.0
2010-12-23 11:49:00,VIP,United Kingdom,1,1,-6.0,-17.700000000000003
2010-12-23 11:50:00,VIP,United Kingdom,1,1,-13.0,-31.35
2010-12-23 12:55:00,VIP,United Kingdom,1,1,-15.0,-69.75
2010-12-23 14:49:00,VIP,United Kingdom,1,1,-6.0,-29.700000000000003
2011-01-04 10:48:00,VIP,United Kingdom,1,1,-3.0,-31.8
2011-01-04 11:08:00,VIP,United Kingdom,1,1,-12.0,-71.4
2011-01-04 13:47:00,VIP,United Kingdom,1,1,-24.0,-90.0
2011-01-04 14:29:00,VIP,Sweden,1,1,-1.0,-40.0
2011-01-04 15:46:00,VIP,United Kingdom,1,1,-24.0,-202.79999999999998
2011-01-04 17:12:00,VIP,United Kingdom,1,1,-150.0,-442.5
2011-01-04 17:14:00,New & Growing,United Kingdom,1,1,-18.0,-197.1
2011-01-05 09:55:00,,United Kingdom,1,1,-1.0,-16888.02
2011-01-05 09:57:00,,United Kingdom,1,1,-1.0,-16453.71
2011-01-05 10:46:00,VIP,Italy,1,1,-3.0,-7.6499999999999995
2011-01-05 10:50:00,VIP,Portugal,1,1,-16.0,-57.6
2011-01-05 11:13:00,VIP,France,1,1,-1.0,-10.95
2011-01-05 11:21:00,VIP,Belgium,1,1,-1.0,-2.95
2011-01-05 11:31:00,,Bahrain,1,1,-54.0,-205.74
2011-01-05 11:36:00,VIP,France,1,1,-1.0,-10.95
2011-01-05 11:42:00,VIP,Germany,1,1,-36.0,-92.5
2011-01-05 12:02:00,VIP,EIRE,1,1,-102.0,-232.67000000000004
2011-01-05 12:05:00,VIP,United Kingdom,1,1,-3.0,-22.8
2011-01-05 12:26:00,VIP,United Kingdom,1,1,-1.0,-22.97
2011-01-05 12:42:00,VIP,United Kingdom,1,1,-4.0,-30.6
2011-01-05 15:32:00,Loyal,Germany,1,1,-20.0,-56.040000000000006
2011-01-05 15:40:00,VIP,United Kingdom,1,1,-2.0,-3.8000000000000003
2011-01-05 15:43:00,VIP,United Kingdom,1,1,-16.0,-64.14999999999999
2011-01-05 16:02:00,VIP,United Kingdom,1,1,-10.0,-37.599999999999994
2011-01-06 11:05:00,,United Kingdom,1,1,-2.0,-493.38
2011-01-06 11:40:00,VIP,United Kingdom,1,1,-8.0,-39.39999999999999
2011-01-06 11:51:00,,Spain,1,1,-1.0,-1126.0
2011-01-06 12:58:00,,United Kingdom,1,1,-284.0,-855.7600000000001
2011-01-06 13:41:00,VIP,Germany,1,1,-4.0,-6.6
2011-01-06 13:56:00,At Risk,United Kingdom,1,1,-6.0,-51.0
2011-01-06 15:35:00,VIP,United Kingdom,1,1,-9.0,-22.25
2011-01-06 16:14:00,VIP,United Kingdom,1,1,-30.0,-21.599999999999998
2011-01-06 16:17:00,Loyal,France,1,1,-3.0,-54.0
2011-01-06 17:27:00,VIP,United Kingdom,1,1,-1.0,-4.95
2011-01-06 17:31:00,VIP,United Kingdom,1,1,-15.0,-34.65
2011-01-06 17:32:00,Loyal,United Kingdom,1,1,-4.0,-5.0
2011-01-06 17:34:00,Loyal,United Kingdom,1,1,-2.0,-7.5
2011-01-06 17:36:00,VIP,United Kingdom,1,1,-12.0,-24.7
2011-01-06 17:37:00,VIP,United Kingdom,1,1,-1.0,-0.72
